PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_Encoded,Embarked_Encoded,FamilySize,IsAlone,AgeGroup,FareBand
1,0,3,male,22.0,1,0,7.25,S,0,0,2,0,Young Adult,Low
2,1,1,female,38.0,1,0,71.2833,C,1,1,2,0,Adult,High
3,1,3,female,26.0,0,0,7.925,S,1,0,1,1,Young Adult,Low
4,1,1,female,35.0,1,0,53.1,S,1,0,2,0,Young Adult,High
5,0,3,male,35.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
6,0,3,male,28.0,0,0,8.4583,Q,0,2,1,1,Young Adult,Low
7,0,1,male,54.0,0,0,51.8625,S,0,0,1,1,Adult,High
8,0,3,male,2.0,3,1,21.075,S,0,0,5,0,Child,Medium
9,1,3,female,27.0,0,2,11.1333,S,1,0,3,0,Young Adult,Medium
10,1,2,female,14.0,1,0,30.0708,C,1,1,2,0,Teen,High
11,1,3,female,4.0,1,1,16.7,S,1,0,3,0,Child,Medium
12,1,1,female,58.0,0,0,26.55,S,1,0,1,1,Adult,Medium
13,0,3,male,20.0,0,0,8.05,S,0,0,1,1,Young Adult,Low
14,0,3,male,39.0,1,5,31.275,S,0,0,7,0,Adult,High
15,0,3,female,14.0,0,0,7.8542,S,1,0,1,1,Teen,Low
16,1,2,female,55.0,0,0,16.0,S,1,0,1,1,Adult,Medium
17,0,3,male,2.0,4,1,29.125,Q,0,2,6,0,Child,Medium
18,1,2,male,28.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
19,0,3,female,31.0,1,0,18.0,S,1,0,2,0,Young Adult,Medium
20,1,3,female,28.0,0,0,7.225,C,1,1,1,1,Young Adult,Low
21,0,2,male,35.0,0,0,26.0,S,0,0,1,1,Young Adult,Medium
22,1,2,male,34.0,0,0,13.0,S,0,0,1,1,Young Adult,Medium
23,1,3,female,15.0,0,0,8.0292,Q,1,2,1,1,Teen,Low
24,1,1,male,28.0,0,0,35.5,S,0,0,1,1,Young Adult,High
25,0,3,female,8.0,3,1,21.075,S,1,0,5,0,Child,Medium
26,1,3,female,38.0,1,5,31.3875,S,1,0,7,0,Adult,High
27,0,3,male,28.0,0,0,7.225,C,0,1,1,1,Young Adult,Low
28,0,1,male,19.0,3,2,263.0,S,0,0,6,0,Young Adult,Very High
29,1,3,female,28.0,0,0,7.8792,Q,1,2,1,1,Young Adult,Low
30,0,3,male,28.0,0,0,7.8958,S,0,0,1,1,Young Adult,Low
31,0,1,male,40.0,0,0,27.7208,C,0,1,1,1,Adult,Medium
32,1,1,female,28.0,1,0,146.5208,C,1,1,2,0,Young Adult,Very High
33,1,3,female,28.0,0,0,7.75,Q,1,2,1,1,Young Adult,Low
34,0,2,male,66.0,0,0,10.5,S,0,0,1,1,Senior,Medium
35,0,1,male,28.0,1,0,82.1708,C,0,1,2,0,Young Adult,High
